list.num,trial.type,trial.num,target,word.type
1,Familiar,1,Left,Familiar-Familiar
1,Familiar,2,Left,Familiar-Familiar
1,Familiar,3,Right,Familiar-Familiar
1,Familiar,4,Right,Familiar-Familiar
1,Familiar,5,Left,Familiar-Familiar
1,Familiar,6,Right,Familiar-Familiar
1,Familiar,7,Left,Familiar-Familiar
1,Familiar,8,Right,Familiar-Familiar
1,Novel,1,Right,Familiar-Novel
1,Novel,2,Left,Novel-Familiar
1,Novel,3,Right,Familiar-Novel
1,Novel,4,Left,Novel-Familiar
1,Novel,5,Right,Familiar-Novel
1,Novel,6,Left,Familiar-Novel
1,Novel,7,Right,Novel-Familiar
1,Novel,8,Right,Novel-Familiar
1,Novel,9,Left,Familiar-Novel
1,Novel,10,Left,Novel-Familiar
1,Novel,11,Right,Familiar-Novel
1,Novel,12,Left,Novel-Familiar
1,Novel,13,Right,Novel-Familiar
1,Novel,14,Left,Familiar-Novel
1,Novel,15,Right,Novel-Familiar
1,Novel,16,Left,Familiar-Novel
2,Familiar,1,Left,Familiar-Familiar
2,Familiar,2,Right,Familiar-Familiar
2,Familiar,3,Left,Familiar-Familiar
2,Familiar,4,Right,Familiar-Familiar
2,Familiar,5,Left,Familiar-Familiar
2,Familiar,6,Right,Familiar-Familiar
2,Familiar,7,Right,Familiar-Familiar
2,Familiar,8,Right,Familiar-Familiar
2,Novel,1,Right,Familiar-Novel
2,Novel,2,Left,Novel-Familiar
2,Novel,3,Right,Familiar-Novel
2,Novel,4,Left,Novel-Familiar
2,Novel,5,Right,Novel-Familiar
2,Novel,6,Left,Familiar-Novel
2,Novel,7,Right,Novel-Familiar
2,Novel,8,Right,Familiar-Novel
2,Novel,9,Left,Novel-Familiar
2,Novel,10,Left,Novel-Familiar
2,Novel,11,Right,Familiar-Novel
2,Novel,12,Left,Familiar-Novel
2,Novel,13,Right,Novel-Familiar
2,Novel,14,Left,Familiar-Novel
2,Novel,15,Right,Novel-Familiar
2,Novel,16,Left,Familiar-Novel
,,,,
,,,,
,,,,
,,,,
,,,,